abstract,article_type,journal,publication_date,title
"<p>Arctic climate change has the potential to affect access to semi-permanent trails on land, water and sea ice, which are the main forms of transport for communities in many circumpolar regions. Focusing on Inuit Nunangat (the Inuit homeland in northern Canada), trail access models were developed drawing upon a participatory process that connects Indigenous knowledge and science. We identified general thresholds for weather and sea ice variables that define boundaries that determine trail access, then applied these thresholds to instrumental data on weather and sea ice conditions to model daily trail accessibility from 1985 to 2016 for 16 communities. We find that overall trail access has been minimally affected by &gt;2 °C warming in the past three decades, increasing by 1.38–1.96 days, differing by trail type. Across models, the knowledge, equipment and risk tolerance of trail users were substantially more influential in determining trail access than changing climatic conditions.</p>",Article,Nature Climate Change,18 March 2019,"Changing access to ice, land and water in Arctic communities"
"<p>The integrity of greenhouse gas emissions data is essential to assess progress towards countries’ pledges under the Paris Agreement on climate change. Building credible systems for emissions measurement, reporting and verification is challenging, especially in developing countries. Using a unique dataset from two of China’s pilot emissions trading systems (Beijing and Hubei), we compare firms’ self-reported CO<sub>2</sub> emissions with emissions verified by third parties (‘verifiers’). In Beijing, we find that the average discrepancy fell by statistically significant levels (from 17% in 2012 to 4% in 2014 and 2015), while in Hubei it started lower and showed a statistically insignificant decrease (from 6% in 2014 to 5% in 2015). We observe no evidence of deliberate misreporting in these two pilots, and show that improvements in firms’ reporting capacity are associated with discrepancies of decreasing magnitude in Beijing. The results suggest that the administrative and firm capabilities required to support emissions trading systems in developing countries will require substantial time and effort to build.</p>",Article,Nature Climate Change,28 January 2019,Integrity of firms’ emissions reporting in China’s early carbon markets
"<p>Continuing losses of multi-year sea ice (MYI) across the Arctic are causing first-year sea ice (FYI) to dominate the Arctic ice pack. Melting FYI provides a strong seasonal pulse of dissolved organic matter (DOM) into surface waters; however, the biological impact of this DOM input is unknown. Here we show that DOM additions cause important and contrasting changes in under-ice bacterioplankton abundance, production and species composition. Utilization of DOM was influenced by molecular size, with 10–100 kDa and &gt;100 kDa DOM fractions promoting rapid growth of particular taxa, while uptake of sulfur and nitrogen-rich low molecular weight organic compounds shifted bacterial community composition. These results demonstrate the ecological impacts of DOM released from melting FYI, with wide-ranging consequences for the cycling of organic matter across regions of the Arctic Ocean transitioning from multi-year to seasonal sea ice as the climate continues to warm.</p>",Article,Nature Climate Change,21 January 2019,Organic matter from Arctic sea-ice loss alters bacterial community structure and function
"<p>A strengthening of the Pacific Walker circulation (PWC) over recent decades triggered an intense debate on the validity of model-projected weakening of the PWC in response to anthropogenic warming. However, limitations of in situ observations and reanalysis datasets have hindered an unambiguous attribution of PWC changes to either natural or anthropogenic causes. Here, by conducting a comprehensive analysis based on multiple independent observational records, including satellite observations along with a large ensemble of model simulations, we objectively determine the relative contributions of internal variability and anthropogenic warming to the emergence of long-term PWC trends. Our analysis shows that the satellite-observed changes differ considerably from the model ensemble-mean changes, but they also indicate substantially weaker strengthening than implied by the reanalyses. Furthermore, some ensemble members are found to reproduce the observed changes in the tropical Pacific. These findings clearly reveal a dominant role of internal variability on the recent strengthening of the PWC.</p>",Article,Nature Climate Change,01 April 2019,Reconciling opposing Walker circulation trends in observations and model projections
,,,,
"<p>Success of the 2015 Paris Agreement, which is founded on nationally determined contributions (NDCs), hinges on whether domestic support for international environmental agreements would be undermined if countries that are crucial to the global effort fail to reduce their emissions. Here we find that citizens in China (<i>n</i> = 3,000) and the United States (<i>n</i> = 3,007) have strong preferences over the design of international climate agreements and contributions of other countries to the global effort. However, contrary to what standard accounts of international politics would predict, a survey-embedded experiment in which respondents were randomly exposed to different information on other countries’ behaviour showed that information on other countries failing to reduce their emissions does not undermine support for how international agreements are designed. While other factors still make large emission cuts challenging, these results suggest that the Paris approach per se is not posing a problem.</p>",Article,Nature Climate Change,25 February 2019,Commitment failures are unlikely to undermine public support for the Paris agreement
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"<p>States have historically been the primary drivers of climate change policy in the US, particularly with regard to emissions from power plants. States have implemented policies designed either to directly curb greenhouse gas (GHG) emissions from power plants, or to encourage energy efficiency and renewable energy growth. With the federal government withdrawing from the global climate agreement, understanding which state-level policies have successfully mitigated power-plant emissions is urgent. Past research has assessed policy effectiveness using data for periods before the adoption of many policies. We assess 17 policies using the latest data on state-level power-sector CO<sub>2</sub> emissions. We find that policies with mandatory compliance are reducing power-plant emissions, while voluntary policies are not. Electric decoupling, mandatory GHG registry/reporting and public benefit funds are associated with the largest reduction in emissions. Mandatory GHG registry/reporting and public benefit funds are also associated with a large reduction in emissions intensity.</p>",Article,Nature Climate Change,06 November 2017,Effectiveness of state climate and energy policies in reducing power-sector CO
"<p>Most climate change mitigation scenarios that are consistent with the 1.5–2 °C target rely on a large-scale contribution from biomass, including advanced (second-generation) biofuels. However, land-based biofuel production has been associated with substantial land-use change emissions. Previous studies show a wide range of emission factors, often hiding the influence of spatial heterogeneity. Here we introduce a spatially explicit method for assessing the supply of advanced biofuels at different emission factors and present the results as emission curves. Dedicated crops grown on grasslands, savannahs and abandoned agricultural lands could provide 30 EJ<sub>Biofuel</sub> yr<sup>−1</sup> with emission factors less than 40 kg of CO<sub>2</sub>-equivalent (CO<sub>2</sub>e) emissions per GJ<sub>Biofuel</sub> (for an 85-year time horizon). This increases to 100 EJ<sub>Biofuel</sub> yr<sup>−1</sup> for emission factors less than 60 kgCO<sub>2</sub>e GJ<sub>Biofuel</sub>
                <sup>−1</sup>. While these results are uncertain and depend on model assumptions (including time horizon, spatial resolution, technology assumptions and so on), emission curves improve our understanding of the relationship between biofuel supply and its potential contribution to climate change mitigation while accounting for spatial heterogeneity.</p>",Article,Nature Climate Change,20 November 2017,Greenhouse gas emission curves for advanced biofuel supply chains
,,,,
"<p>Although not considered in climate models, perceived risk stemming from extreme climate events may induce behavioural changes that alter greenhouse gas emissions. Here, we link the C-ROADS climate model to a social model of behavioural change to examine how interactions between perceived risk and emissions behaviour influence projected climate change. Our coupled climate and social model resulted in a global temperature change ranging from 3.4–6.2 °C by 2100 compared with 4.9 °C for the C-ROADS model alone, and led to behavioural uncertainty that was of a similar magnitude to physical uncertainty (2.8 °C versus 3.5 °C). Model components with the largest influence on temperature were the functional form of response to extreme events, interaction of perceived behavioural control with perceived social norms, and behaviours leading to sustained emissions reductions. Our results suggest that policies emphasizing the appropriate attribution of extreme events to climate change and infrastructural mitigation may reduce climate change the most.</p>",Article,Nature Climate Change,01 January 2018,Linking models of human behaviour and climate alters projected climate change
"<p>Although addressing climate change will ultimately require global cooperation, substantial progress may be achieved through small clubs of countries, where it is easier to forge and implement deals needed for policy coordination. Here we quantify the gains from cooperation in the Arctic region and find that nearly 90% of the potential for abating black carbon can be reached by countries acting in self-interest alone because soot, the main source of black carbon, causes severe harm to human health along with warming. Abating methane, by contrast, requires more cooperation because impacts are more diffused geographically. Well-designed clubs with as few as four members can realize more than 80% of the full group cooperation potential for reducing these pollutants. The pivotal player in every effective club is Russia—most other members of the Arctic Council, the institution most focused on advancing the collective interests of the region, offer little leverage on the problems at hand.</p>",Article,Nature Climate Change,18 December 2017,Incentives for small clubs of Arctic countries to limit black carbon and methane emissions
"<p>Green bonds are seen as a key instrument to unlock climate finance. While their volume has grown steadily in recent years, the impact of the ‘green’ label on the bond market is poorly understood. Here, we investigate the differences between the yield term structures of green and conventional bonds in the US municipal bond market. We show that, although returns on conventional bonds are on average higher than for green bonds, the differences can largely be explained by the fundamental properties of the bonds. Historically, green bonds have been penalized on the municipal market, being traded at lower prices and higher yields than expected by their credit profiles. In recent years, however, the credit quality of municipal green bonds has increased and the premium turned positive. Green bonds are thus becoming an increasingly attractive investment, with scope to bridge the climate finance gap for mitigation and adaptation.</p>",Article,Nature Climate Change,29 January 2018,The changing value of the ‘green’ label on the US municipal bond market
"<p>Climate-sensitive Arctic lakes have been identified as conduits for ancient permafrost-carbon (C) emissions and as such accelerate warming. However, the environmental factors that control emission pathways and their sources are unclear; this complicates upscaling, forecasting and climate-impact-assessment efforts. Here we show that current whole-lake CH<sub>4</sub> and CO<sub>2</sub> emissions from widespread lakes in Arctic Alaska primarily originate from organic matter fixed within the past 3–4 millennia (modern to 3,300 ± 70 years before the present), and not from Pleistocene permafrost C. Furthermore, almost 100% of the annual diffusive C flux is emitted as CO<sub>2</sub>. Although the lakes mostly processed younger C (89 ± 3% of total C emissions), minor contributions from ancient C sources were two times greater in fine-textured versus coarse-textured Pleistocene sediments, which emphasizes the importance of the underlying geological substrate in current and future emissions. This spatially extensive survey considered the environmental and temporal variability necessary to monitor and forecast the fate of ancient permafrost C as Arctic warming progresses.</p>",Article,Nature Climate Change,29 January 2018,Greenhouse gas emissions from diverse Arctic Alaskan lakes are dominated by young carbon
"<p>Mangrove forests store high densities of organic carbon, which, when coupled with high rates of deforestation, means that mangroves have the potential to contribute substantially to carbon emissions. Consequently, mangroves are strong candidates for inclusion in nationally determined contributions (NDCs) to the United Nations Framework Convention on Climate Change (UNFCCC), and payments for ecosystem services (PES) programmes that financially incentivize the conservation of forested carbon stocks. This study quantifies annual mangrove carbon stocks from 2000 to 2012 at the global, national and sub-national levels, and global carbon emissions resulting from deforestation over the same time period. Globally, mangroves stored 4.19 Pg of carbon in 2012, with Indonesia, Brazil, Malaysia and Papua New Guinea accounting for more than 50% of the global stock. 2.96 Pg of the global carbon stock is contained within the soil and 1.23 Pg in the living biomass. Two percent of global mangrove carbon was lost between 2000 and 2012, equivalent to a maximum potential of 316,996,250 t of CO<sub>2</sub> emissions.</p>",Article,Nature Climate Change,26 February 2018,Global carbon stocks and potential emissions due to mangrove deforestation from 2000 to 2012
"<p>Coastal communities are threatened by sea-level changes operating at various spatial scales; global to regional variations are associated with glacier and ice sheet loss and ocean thermal expansion, while smaller coastal-scale variations are also related to atmospheric surges, tides and waves. Here, using 23 years (1993–2015) of global coastal sea-level observations, we examine the contribution of these latter processes to long-term sea-level rise, which, to date, have been relatively less explored. It is found that wave contributions can strongly dampen or enhance the effects of thermal expansion and land ice loss on coastal water-level changes at interannual-to-multidecadal timescales. Along the US West Coast, for example, negative wave-induced trends dominate, leading to negative net water-level trends. Accurate estimates of past, present and future coastal sea-level rise therefore need to consider low-frequency contributions of wave set-up and swash.</p>",Article,Nature Climate Change,26 February 2018,Under-estimated wave contribution to coastal sea-level rise
"<p>The Paris Agreement stipulates that global warming be stabilized at well below 2 °C above pre-industrial levels, with aims to further constrain this warming to 1.5 °C. However, it also calls for reducing net anthropogenic greenhouse gas (GHG) emissions to zero during the second half of this century. Here, we use a reduced-form integrated assessment model to examine the consistency between temperature- and emission-based targets. We find that net zero GHG emissions are not necessarily required to remain below 1.5 °C or 2 °C, assuming either target can be achieved without overshoot. With overshoot, however, the emissions goal is consistent with the temperature targets, and substantial negative emissions are associated with reducing warming after it peaks. Temperature targets are put at risk by late achievement of emissions goals and the use of some GHG emission metrics. Refinement of Paris Agreement emissions goals should include a focus on net zero CO<sub>2</sub>—not GHG—emissions, achieved early in the second half of the century.</p>",Article,Nature Climate Change,26 March 2018,The Paris Agreement zero-emissions goal is not always consistent with the 1.5 °C and 2 °C temperature targets
"<p>The 2015 Paris Agreement calls for countries to pursue efforts to limit global-mean temperature rise to 1.5 °C. The transition pathways that can meet such a target have not, however, been extensively explored. Here we describe scenarios that limit end-of-century radiative forcing to 1.9 W m<sup>−2</sup>, and consequently restrict median warming in the year 2100 to below 1.5 °C. We use six integrated assessment models and a simple climate model, under different socio-economic, technological and resource assumptions from five Shared Socio-economic Pathways (SSPs). Some, but not all, SSPs are amenable to pathways to 1.5 °C. Successful 1.9 W m<sup>−2</sup> scenarios are characterized by a rapid shift away from traditional fossil-fuel use towards large-scale low-carbon energy supplies, reduced energy use, and carbon-dioxide removal. However, 1.9 W m<sup>−2</sup> scenarios could not be achieved in several models under SSPs with strong inequalities, high baseline fossil-fuel use, or scattered short-term climate policy. Further research can help policy-makers to understand the real-world implications of these scenarios.</p>",Article,Nature Climate Change,05 March 2018,Scenarios towards limiting global mean temperature increase below 1.5 °C
"<p>Range shift is the primary short-term species response to rapid climate change, but it is often hampered by natural or anthropogenic habitat fragmentation. Different critical areas of a species’ niche may be exposed to heterogeneous environmental changes and modelling species response under such complex spatial and ecological scenarios presents well-known challenges. Here, we use a biophysical ecological niche model validated through population genomics and palaeodemography to reconstruct past range shifts and identify future vulnerable areas and potential refugia of the king penguin in the Southern Ocean. Integrating genomic and demographic data at the whole-species level with specific biophysical constraints, we present a refined framework for predicting the effect of climate change on species relying on spatially and ecologically distinct areas to complete their life cycle (for example, migratory animals, marine pelagic organisms and central-place foragers) and, in general, on species living in fragmented ecosystems.</p>",Article,Nature Climate Change,26 February 2018,Climate-driven range shifts of the king penguin in a fragmented ecosystem
"<p>Forecasts of species range shifts under climate change most often rely on ecological niche models, in which characterizations of climate suitability are highly contingent on the species range data used. If ranges are far from equilibrium under current environmental conditions, for instance owing to local extinctions in otherwise suitable areas, modelled environmental suitability can be truncated, leading to biased estimates of the effects of climate change. Here we examine the impact of such biases on estimated risks from climate change by comparing models of the distribution of North American mammals based on current ranges with ranges accounting for historical information on species ranges. We find that estimated future diversity, almost everywhere, except in coastal Alaska, is drastically underestimated unless the full historical distribution of the species is included in the models. Consequently forecasts of climate change impacts on biodiversity for many clades are unlikely to be reliable without acknowledging anthropogenic influences on contemporary ranges.</p>",Article,Nature Climate Change,26 February 2018,Anthropogenic range contractions bias species climate change forecasts
"<p>Seagrass ecosystems contain globally significant organic carbon (C) stocks. However, climate change and increasing frequency of extreme events threaten their preservation. Shark Bay, Western Australia, has the largest C stock reported for a seagrass ecosystem, containing up to 1.3% of the total C stored within the top metre of seagrass sediments worldwide. On the basis of field studies and satellite imagery, we estimate that 36% of Shark Bay’s seagrass meadows were damaged following a marine heatwave in 2010/2011. Assuming that 10 to 50% of the seagrass sediment C stock was exposed to oxic conditions after disturbance, between 2 and 9 Tg CO<sub>2</sub> could have been released to the atmosphere during the following three years, increasing emissions from land-use change in Australia by 4–21% per annum. With heatwaves predicted to increase with further climate warming, conservation of seagrass ecosystems is essential to avoid adverse feedbacks on the climate system.</p>",Article,Nature Climate Change,19 March 2018,A marine heatwave drives massive losses from the world’s largest seagrass carbon stocks
"<p>Under the Paris Agreement, emissions scenarios are pursued that would stabilize the global mean temperature at 1.5–2.0 °C above pre-industrial levels, but current emission reduction policies are expected to limit warming by 2100 to approximately 3.0 °C. Whether such emissions scenarios would prevent a summer sea-ice-free Arctic is unknown. Here we employ stabilized warming simulations with an Earth System Model to obtain sea-ice projections under stabilized global warming, and correct biases in mean sea-ice coverage by constraining with observations. Although there is some sensitivity to details in the constraining method, the observationally constrained projections suggest that the benefits of going from 2.0 °C to 1.5 °C stabilized warming are substantial; an eightfold decrease in the frequency of ice-free conditions is expected, from once in every five to once in every forty years. Under 3.0 °C global mean warming, however, permanent summer ice-free conditions are likely, which emphasizes the need for nations to increase their commitments to the Paris Agreement.</p>",Article,Nature Climate Change,02 April 2018,Ice-free Arctic projections under the Paris Agreement
"<p>Food production is responsible for a quarter of anthropogenic greenhouse gas (GHG) emissions globally. Marine fisheries are typically excluded from global assessments of GHGs or are generalized based on a limited number of case studies. Here we quantify fuel inputs and GHG emissions for the global fishing fleet from 1990–2011 and compare emissions from fisheries to those from agriculture and livestock production. We estimate that fisheries consumed 40 billion litres of fuel in 2011 and generated a total of 179 million tonnes of CO<sub>2</sub>-equivalent GHGs (4% of global food production). Emissions from the global fishing industry grew by 28% between 1990 and 2011, with little coinciding increase in production (average emissions per tonne landed grew by 21%). Growth in emissions was driven primarily by increased harvests from fuel-intensive crustacean fisheries. The environmental benefit of low-carbon fisheries could be further realized if a greater proportion of landings were directed to human consumption rather than industrial uses.</p>",Article,Nature Climate Change,02 April 2018,Fuel use and greenhouse gas emissions of world fisheries
"<p>Climate projections for the twenty-first century suggest an increase in the occurrence of heat waves. However, the time at which externally forced signals of anthropogenic climate change (ACC) emerge against background natural variability (time of emergence (ToE)) has been challenging to quantify, which makes future heat-wave projections uncertain. Here we combine observations and model simulations under present and future forcing to assess how internal variability and ACC modulate US heat waves. We show that ACC dominates heat-wave occurrence over the western United States and Great Lakes regions, with ToE that occurred as early as the 2020s and 2030s, respectively. In contrast, internal variability governs heat waves in the northern and southern Great Plains, where ToE occurs in the 2050s and 2070s; this later ToE is believed to be a result of a projected increase in circulation variability, namely the Great Plain low-level jet. Thus, greater mitigation and adaptation efforts are needed in the Great Lakes and western United States regions.</p>",Article,Nature Climate Change,19 March 2018,Early emergence of anthropogenically forced heat waves in the western United States and Great Lakes
"<p>Arctic sea ice has declined rapidly with increasing global temperatures. However, it is largely unknown how Arctic summer sea-ice impacts would vary under the 1.5 °C Paris target compared to scenarios with greater warming. Using the Community Earth System Model, I show that constraining warming to 1.5 °C rather than 2.0 °C reduces the probability of any summer ice-free conditions by 2100 from 100% to 30%. It also reduces the late-century probability of an ice cover below the 2012 record minimum from 98% to 55%. For warming above 2 °C, frequent ice-free conditions can be expected, potentially for several months per year. Although sea-ice loss is generally reversible for decreasing temperatures, sea ice will only recover to current conditions if atmospheric CO<sub>2</sub> is reduced below present-day concentrations. Due to model biases, these results provide a lower bound on summer sea-ice impacts, but clearly demonstrate the benefits of constraining warming to 1.5 °C.</p>",Article,Nature Climate Change,02 April 2018,Reduced probability of ice-free summers for 1.5 °C compared to 2 °C warming
"<p>Anthropogenic warming is anticipated to increase soil moisture drought in the future. However, projections are accompanied by large uncertainty due to varying estimates of future warming. Here, using an ensemble of hydrological and land-surface models, forced with bias-corrected downscaled general circulation model output, we estimate the impacts of 1–3 K global mean temperature increases on soil moisture droughts in Europe. Compared to the 1.5 K Paris target, an increase of 3 K—which represents current projected temperature change—is found to increase drought area by 40% (±24%), affecting up to 42% (±22%) more of the population. Furthermore, an event similar to the 2003 drought is shown to become twice as frequent; thus, due to their increased occurrence, events of this magnitude will no longer be classified as extreme. In the absence of effective mitigation, Europe will therefore face unprecedented increases in soil moisture drought, presenting new challenges for adaptation across the continent.</p>",Article,Nature Climate Change,23 April 2018,Anthropogenic warming exacerbates European soil moisture droughts
"<p>Mediterranean climate regimes are particularly susceptible to rapid shifts between drought and flood—of which, California’s rapid transition from record multi-year dryness between 2012 and 2016 to extreme wetness during the 2016–2017 winter provides a dramatic example. Projected future changes in such dry-to-wet events, however, remain inadequately quantified, which we investigate here using the Community Earth System Model Large Ensemble of climate model simulations. Anthropogenic forcing is found to yield large twenty-first-century increases in the frequency of wet extremes, including a more than threefold increase in sub-seasonal events comparable to California’s ‘Great Flood of 1862’. Smaller but statistically robust increases in dry extremes are also apparent. As a consequence, a 25% to 100% increase in extreme dry-to-wet precipitation events is projected, despite only modest changes in mean precipitation. Such hydrological cycle intensification would seriously challenge California’s existing water storage, conveyance and flood control infrastructure.</p>",Article,Nature Climate Change,23 April 2018,Increasing precipitation volatility in twenty-first-century California
"<p>Understanding how anthropogenic CO<sub>2</sub> emissions will influence future precipitation is critical for sustainably managing ecosystems, particularly for drought-sensitive tropical forests. Although tropical precipitation change remains uncertain, nearly all models from the Coupled Model Intercomparison Project Phase 5 predict a strengthening zonal precipitation asymmetry by 2100, with relative increases over Asian and African tropical forests and decreases over South American forests. Here we show that the plant physiological response to increasing CO<sub>2</sub> is a primary mechanism responsible for this pattern. Applying a simulation design in the Community Earth System Model in which CO<sub>2</sub> increases are isolated over individual continents, we demonstrate that different circulation, moisture and stability changes arise over each continent due to declines in stomatal conductance and transpiration. The sum of local atmospheric responses over individual continents explains the pan-tropical precipitation asymmetry. Our analysis suggests that South American forests may be more vulnerable to rising CO<sub>2</sub> than Asian or African forests.</p>",Article,Nature Climate Change,27 April 2018,Forest response to rising CO
